CDR_ID,IMEI,Phone_Number,Operator,Location,Timestamp,Call_Duration,Data_Used_MB,IP_Address
CDR_000030,IMEI_V1,9845072590,BSNL,Mumbai,2026-09-13 23:46:30.904573,2412,360,244.239.157.102
CDR_000031,IMEI_V2,9877987199,Airtel,Chennai,2026-08-28 23:46:30.904573,686,304,249.161.77.29
CDR_000032,IMEI_V3,9873052764,BSNL,Bangalore,2026-09-14 00:46:30.904573,1086,136,22.45.249.78
CDR_000033,IMEI_V3,9896670722,Airtel,Chennai,2026-09-12 11:46:30.904573,482,353,137.117.22.111
CDR_000034,IMEI_V1,9828725157,Vodafone,Hyderabad,2026-09-17 17:46:30.904573,286,419,140.118.14.71
CDR_000035,IMEI_V3,9879094979,BSNL,Chennai,2026-09-17 17:46:30.904573,3214,473,141.6.173.214
CDR_000036,IMEI_V3,9881210200,Jio,Delhi,2026-09-07 14:46:30.904573,80,302,214.226.173.195
CDR_000037,IMEI_V1,9873513111,BSNL,Chennai,2026-09-02 15:46:30.904573,1801,86,110.58.5.249
CDR_000038,IMEI_2,9878645463,Airtel,Kolkata,2026-08-31 11:46:30.904573,3550,214,128.250.151.98
CDR_000039,IMEI_V1,9857733503,Vodafone,Mumbai,2026-09-13 20:46:30.904573,694,212,105.176.205.144
CDR_000040,IMEI_V3,9875456712,Airtel,Hyderabad,2026-08-24 22:46:30.904573,3406,182,240.242.164.243
CDR_000041,IMEI_V2,9842941923,Airtel,Mumbai,2026-09-06 09:46:30.904573,706,152,163.185.119.38
CDR_000042,IMEI_V3,9824443045,Jio,Hyderabad,2026-08-31 15:46:30.904573,1718,61,221.164.182.23
CDR_000043,IMEI_V2,9814760920,Vodafone,Pune,2026-08-23 07:46:30.904573,3451,149,223.202.185.22
CDR_000044,IMEI_V1,9855224349,Jio,Mumbai,2026-08-23 09:46:30.904573,1975,8,18.235.202.47
CDR_000045,IMEI_2,9853914565,Vodafone,Hyderabad,2026-09-16 08:46:30.904573,302,494,77.21.77.182
CDR_000046,IMEI_V3,9837224941,Airtel,Kolkata,2026-09-18 12:46:30.904573,1026,225,28.69.62.159
CDR_000047,IMEI_1,9851125630,BSNL,Bangalore,2026-09-05 23:46:30.904573,2376,52,80.129.33.144
CDR_000048,IMEI_V1,9842385751,BSNL,Pune,2026-08-22 00:46:30.904573,1526,83,241.102.91.27
CDR_000049,IMEI_V1,9884715042,Airtel,Delhi,2026-09-09 12:46:30.904573,1270,298,105.253.71.68
CDR_000050,IMEI_V3,9858830159,BSNL,Pune,2026-08-24 17:46:30.904573,2149,408,157.100.39.110
CDR_000051,IMEI_V1,9846759954,BSNL,Hyderabad,2026-09-10 02:46:30.904573,718,158,78.249.2.152
CDR_000052,IMEI_V1,9840793881,Airtel,Chennai,2026-09-15 21:46:30.904573,3218,150,85.30.45.34
CDR_000053,IMEI_1,9839846976,Jio,Hyderabad,2026-08-28 00:46:30.904573,3258,109,74.195.138.67
CDR_000054,IMEI_5,9825980039,BSNL,Chennai,2026-09-12 23:46:30.904573,1048,196,121.26.25.147
CDR_000055,IMEI_V1,9849284434,BSNL,Hyderabad,2026-08-24 01:46:30.904573,3165,367,137.4.72.236
CDR_000056,IMEI_V2,9847174938,BSNL,Kolkata,2026-09-15 13:46:30.904573,1893,221,173.110.185.250
CDR_000057,IMEI_V1,9890406045,Vodafone,Pune,2026-09-05 04:46:30.904573,1988,360,47.207.173.212
CDR_000058,IMEI_V2,9880238483,Vodafone,Hyderabad,2026-08-22 03:46:30.904573,2354,114,149.205.36.217
CDR_000059,IMEI_V2,9813946708,Jio,Delhi,2026-08-21 16:46:30.904573,3555,105,3.63.69.20
CDR_000060,IMEI_V1,9852649690,BSNL,Pune,2026-09-09 15:46:30.904573,140,269,135.247.58.78
CDR_000061,IMEI_V2,9819390989,Airtel,Kolkata,2026-08-27 18:46:30.904573,1095,68,213.150.211.139
CDR_000062,IMEI_V1,9880713377,Vodafone,Delhi,2026-09-02 10:46:30.904573,747,157,12.213.111.140
CDR_000063,IMEI_V2,9880233834,BSNL,Hyderabad,2026-09-07 23:46:30.904573,963,206,82.172.80.57
CDR_000064,IMEI_V1,9826818619,BSNL,Chennai,2026-08-27 04:46:30.904573,2576,422,140.84.153.95
CDR_000065,IMEI_V1,9819934033,Vodafone,Chennai,2026-09-03 23:46:30.904573,2167,271,101.224.133.254
CDR_000066,IMEI_1,9821374506,BSNL,Kolkata,2026-08-28 11:46:30.904573,1742,316,159.94.233.226
CDR_000067,IMEI_V2,9866798705,Jio,Delhi,2026-09-02 07:46:30.904573,223,48,208.235.228.126
CDR_000068,IMEI_3,9830054658,Jio,Delhi,2026-08-29 22:46:30.904573,413,175,176.48.16.239
CDR_000069,IMEI_5,9821944324,Vodafone,Pune,2026-09-19 19:46:30.904573,686,173,94.182.62.69
CDR_000070,IMEI_V1,9858699418,BSNL,Kolkata,2026-08-29 17:46:30.904573,2246,409,180.134.161.202
CDR_000071,IMEI_V2,9867517310,BSNL,Hyderabad,2026-09-11 03:46:30.904573,1498,291,131.91.160.77
CDR_000072,IMEI_3,9827288288,Jio,Hyderabad,2026-09-15 08:46:30.904573,983,1,119.251.215.174
CDR_000073,IMEI_V3,9875237606,Airtel,Hyderabad,2026-09-11 16:46:30.904573,3152,157,204.241.33.0
CDR_000074,IMEI_V2,9895769992,Airtel,Bangalore,2026-09-07 19:46:30.904573,3348,141,233.246.255.249
CDR_000075,IMEI_V1,9849348245,Vodafone,Pune,2026-08-30 18:46:30.904573,2667,190,204.10.104.175
CDR_000076,IMEI_V1,9829362927,Airtel,Pune,2026-08-26 12:46:30.904573,2017,304,73.173.162.67
CDR_000077,IMEI_V2,9890983144,Airtel,Pune,2026-09-20 10:46:30.904573,1540,438,93.117.200.106
CDR_000078,IMEI_4,9839641180,Airtel,Chennai,2026-08-29 01:46:30.904573,651,170,5.63.77.0
CDR_000079,IMEI_V1,9882588721,BSNL,Chennai,2026-09-13 04:46:30.904573,593,351,29.117.240.242
CDR_000080,IMEI_V3,9887418595,Vodafone,Kolkata,2026-09-03 04:46:30.904573,2851,331,217.7.177.26
CDR_000081,IMEI_2,9866922991,BSNL,Hyderabad,2026-09-12 10:46:30.904573,1722,306,100.157.216.76
CDR_000082,IMEI_V2,9848629989,Airtel,Chennai,2026-09-08 00:46:30.904573,2084,389,176.152.183.185
CDR_000083,IMEI_V2,9890515336,BSNL,Mumbai,2026-09-14 01:46:30.904573,343,477,62.194.60.71
CDR_000084,IMEI_V1,9838620431,Jio,Mumbai,2026-08-26 23:46:30.904573,1691,371,125.94.173.204
CDR_000085,IMEI_V1,9880207179,Airtel,Bangalore,2026-08-22 04:46:30.904573,2681,245,241.197.117.51
CDR_000086,IMEI_1,9866673529,Jio,Mumbai,2026-09-13 15:46:30.904573,140,90,236.203.231.122
CDR_000087,IMEI_V1,9889454687,Airtel,Hyderabad,2026-08-22 21:46:30.904573,2289,247,98.241.71.211
CDR_000088,IMEI_1,9878531379,Vodafone,Delhi,2026-09-10 01:46:30.904573,3089,177,1.197.169.202
CDR_000089,IMEI_1,9835969734,Airtel,Mumbai,2026-09-13 09:46:30.904573,2511,203,62.232.200.47
CDR_000090,IMEI_V1,9832822440,Airtel,Delhi,2026-08-21 07:46:30.904573,1823,443,55.190.160.216
CDR_000091,IMEI_2,9855259713,Vodafone,Chennai,2026-08-29 12:46:30.904573,3115,206,57.134.215.130
CDR_000092,IMEI_V2,9871928735,Airtel,Delhi,2026-08-23 15:46:30.904573,549,394,226.230.30.48
CDR_000093,IMEI_V2,9825136147,BSNL,Pune,2026-09-18 19:46:30.904573,1863,209,225.72.216.177
CDR_000094,IMEI_V3,9830018506,Airtel,Bangalore,2026-09-13 03:46:30.904573,325,246,181.70.38.145
CDR_000095,IMEI_1,9890301169,Jio,Hyderabad,2026-09-11 10:46:30.904573,1331,123,118.0.246.115
CDR_000096,IMEI_V3,9891245071,Jio,Hyderabad,2026-09-06 03:46:30.904573,2700,70,131.205.151.33
CDR_000097,IMEI_1,9888753454,BSNL,Bangalore,2026-08-28 17:46:30.904573,1251,362,199.114.99.112
CDR_000098,IMEI_V2,9828483432,Airtel,Hyderabad,2026-09-02 12:46:30.904573,3545,446,89.247.48.124
CDR_000099,IMEI_V1,9838381569,Airtel,Mumbai,2026-08-21 11:46:30.904573,921,478,120.189.194.115
CDR_000100,IMEI_4,9829293348,Airtel,Hyderabad,2026-09-17 15:46:30.904573,1290,440,70.76.237.56
CDR_000101,IMEI_V1,9839955779,Vodafone,Delhi,2026-08-24 18:46:30.904573,3477,289,66.101.224.102
CDR_000102,IMEI_5,9887761390,Airtel,Delhi,2026-09-15 22:46:30.904573,1716,231,200.204.114.235
CDR_000103,IMEI_V3,9898179644,BSNL,Delhi,2026-08-21 04:46:30.904573,2275,226,179.239.156.48
CDR_000104,IMEI_V1,9895386921,Airtel,Delhi,2026-08-23 06:46:30.904573,979,127,135.171.235.86
CDR_000105,IMEI_V1,9861221208,Jio,Pune,2026-09-04 20:46:30.904573,3310,189,68.128.4.158
CDR_000106,IMEI_V3,9812133011,Jio,Pune,2026-08-21 16:46:30.904573,3091,400,80.162.172.145
CDR_000107,IMEI_V1,9886651800,Vodafone,Pune,2026-09-19 05:46:30.904573,2022,417,161.221.90.14
CDR_000108,IMEI_4,9896144058,Airtel,Hyderabad,2026-09-10 10:46:30.904573,3116,322,95.207.135.204
CDR_000109,IMEI_2,9815197516,Jio,Chennai,2026-09-18 10:46:30.904573,1305,493,240.146.209.54
CDR_000110,IMEI_V1,9870165038,Jio,Mumbai,2026-08-28 18:46:30.904573,251,228,149.237.58.96
CDR_000111,IMEI_V3,9877289223,BSNL,Mumbai,2026-09-08 04:46:30.904573,2901,427,110.127.224.37
CDR_000112,IMEI_V3,9835683376,Airtel,Mumbai,2026-08-25 19:46:30.904573,2509,372,189.50.55.127
CDR_000113,IMEI_V2,9823859669,Jio,Hyderabad,2026-08-22 20:46:30.904573,2750,441,232.124.96.30
CDR_000114,IMEI_4,9868498904,Airtel,Bangalore,2026-08-30 12:46:30.904573,2779,167,237.50.17.177
CDR_000115,IMEI_V1,9873367366,Jio,Chennai,2026-08-24 01:46:30.904573,2333,110,224.49.163.75
CDR_000116,IMEI_1,9811609216,BSNL,Hyderabad,2026-09-08 06:46:30.904573,595,250,113.157.53.166
CDR_000117,IMEI_V1,9876634538,Vodafone,Hyderabad,2026-09-02 21:46:30.904573,802,55,59.165.53.197
CDR_000118,IMEI_V1,9889465609,Jio,Pune,2026-09-19 17:46:30.904573,431,217,214.45.63.55
CDR_000119,IMEI_V1,9867283427,BSNL,Pune,2026-08-25 11:46:30.904573,1856,441,162.19.3.198
CDR_000120,IMEI_5,9898308261,Vodafone,Chennai,2026-08-28 12:46:30.904573,3087,16,142.134.54.23
CDR_000121,IMEI_1,9864750278,BSNL,Bangalore,2026-08-29 11:46:30.904573,501,379,135.231.185.54
CDR_000122,IMEI_V2,9822781926,Airtel,Mumbai,2026-09-09 14:46:30.904573,1697,143,7.7.167.243
CDR_000123,IMEI_V2,9823134865,BSNL,Bangalore,2026-08-29 11:46:30.904573,3458,492,107.182.88.245
CDR_000124,IMEI_V3,9847913079,Jio,Mumbai,2026-08-29 00:46:30.904573,1074,170,16.219.219.188
CDR_000125,IMEI_V1,9831666456,Vodafone,Kolkata,2026-09-19 13:46:30.904573,3496,81,151.224.122.210
CDR_000126,IMEI_V2,9872711622,Vodafone,Mumbai,2026-09-08 12:46:30.904573,3549,291,176.118.44.23
CDR_000127,IMEI_4,9894515517,Vodafone,Kolkata,2026-08-25 08:46:30.904573,3551,428,184.48.130.214
CDR_000128,IMEI_V2,9813726913,BSNL,Bangalore,2026-09-01 12:46:30.904573,2116,10,180.147.39.26
CDR_000129,IMEI_V2,9834919753,Vodafone,Kolkata,2026-08-27 08:46:30.904573,3094,34,176.23.19.28
CDR_000130,IMEI_V3,9841681937,Airtel,Delhi,2026-08-31 09:46:30.904573,58,480,198.207.211.125
CDR_000131,IMEI_V3,9853200333,BSNL,Delhi,2026-08-25 20:46:30.904573,2441,80,198.240.222.215
CDR_000132,IMEI_V3,9854217596,Airtel,Pune,2026-08-31 06:46:30.904573,2800,207,229.4.19.139
CDR_000133,IMEI_5,9852826271,Airtel,Delhi,2026-08-26 17:46:30.904573,3050,106,167.43.42.32
CDR_000134,IMEI_V2,9826187527,Airtel,Delhi,2026-09-10 21:46:30.904573,751,370,195.239.149.243
CDR_000135,IMEI_V3,9857830018,Jio,Hyderabad,2026-09-01 19:46:30.904573,3266,358,41.210.231.246
CDR_000136,IMEI_3,9888550061,Vodafone,Hyderabad,2026-08-24 13:46:30.904573,924,165,88.176.6.13
CDR_000137,IMEI_V2,9874734222,Airtel,Chennai,2026-09-16 14:46:30.904573,3496,43,216.206.68.235
CDR_000138,IMEI_4,9888279742,Vodafone,Kolkata,2026-08-21 17:46:30.904573,2167,198,209.7.45.190
CDR_000139,IMEI_3,9880648329,Vodafone,Mumbai,2026-08-29 20:46:30.904573,1266,297,186.132.199.54
CDR_000140,IMEI_V3,9815364621,BSNL,Delhi,2026-08-21 01:46:30.904573,178,99,77.41.202.66
CDR_000141,IMEI_V3,9885309873,Airtel,Pune,2026-09-06 22:46:30.904573,3094,90,168.12.94.53
CDR_000142,IMEI_V3,9841983892,Vodafone,Hyderabad,2026-08-26 17:46:30.904573,1557,228,122.156.117.138
CDR_000143,IMEI_V1,9869888477,Vodafone,Chennai,2026-09-01 03:46:30.904573,145,292,240.165.122.154
CDR_000144,IMEI_1,9869874242,Vodafone,Mumbai,2026-08-30 12:46:30.904573,1810,467,167.131.14.131
CDR_000145,IMEI_2,9820882823,Vodafone,Pune,2026-09-03 16:46:30.904573,1430,481,153.73.112.136
CDR_000146,IMEI_V2,9878221146,BSNL,Delhi,2026-09-18 02:46:30.904573,559,449,151.72.225.131
CDR_000147,IMEI_V1,9850564381,Jio,Delhi,2026-09-06 18:46:30.904573,1681,489,85.127.85.89
CDR_000148,IMEI_2,9885789437,Airtel,Mumbai,2026-09-20 11:46:30.904573,2902,218,194.218.35.164
CDR_000149,IMEI_V3,9831084553,Vodafone,Bangalore,2026-09-11 18:46:30.904573,1980,203,197.222.204.111
CDR_000150,IMEI_V3,9830416966,BSNL,Kolkata,2026-09-07 23:46:30.904573,2171,49,103.27.166.118
CDR_000151,IMEI_5,9859388760,BSNL,Mumbai,2026-09-19 22:46:30.904573,1746,2,2.223.203.45
CDR_000152,IMEI_V2,9874870011,BSNL,Delhi,2026-08-21 03:46:30.904573,1879,37,34.243.233.38
CDR_000153,IMEI_5,9882141860,Airtel,Kolkata,2026-09-20 12:46:30.904573,3405,404,239.68.46.128
CDR_000154,IMEI_V2,9870827825,Airtel,Delhi,2026-09-18 06:46:30.904573,2424,146,140.177.51.142
CDR_000155,IMEI_V1,9824400134,Jio,Bangalore,2026-09-16 20:46:30.904573,1223,479,226.89.6.21
CDR_000156,IMEI_V2,9829136695,BSNL,Kolkata,2026-09-01 16:46:30.904573,597,472,48.102.52.11
CDR_000157,IMEI_3,9890696677,BSNL,Delhi,2026-08-30 03:46:30.904573,2313,220,122.172.205.166
CDR_000158,IMEI_V1,9836671926,Jio,Chennai,2026-09-14 08:46:30.904573,1258,419,118.126.137.51
CDR_000159,IMEI_V2,9841706697,Vodafone,Kolkata,2026-09-04 17:46:30.904573,2806,396,191.96.230.178
CDR_000160,IMEI_V3,9853760300,Airtel,Chennai,2026-09-02 05:46:30.904573,3234,227,83.173.158.128
CDR_000161,IMEI_V1,9829655442,Jio,Pune,2026-09-10 14:46:30.904573,1836,181,220.129.160.144
CDR_000162,IMEI_V3,9893074792,BSNL,Bangalore,2026-09-12 07:46:30.904573,2071,74,187.231.144.194
CDR_000163,IMEI_V1,9898089379,Jio,Delhi,2026-09-11 16:46:30.904573,870,215,80.118.8.23
CDR_000164,IMEI_V3,9858155583,Jio,Kolkata,2026-08-29 21:46:30.904573,2921,430,146.254.126.65
CDR_000165,IMEI_V2,9869595129,Jio,Mumbai,2026-09-04 23:46:30.904573,1504,345,131.52.234.113
CDR_000166,IMEI_V2,9862119271,BSNL,Chennai,2026-08-25 06:46:30.904573,2146,371,248.211.109.40
CDR_000167,IMEI_V3,9814100264,Jio,Bangalore,2026-09-17 04:46:30.904573,657,62,219.70.20.88
CDR_000168,IMEI_2,9866030666,Airtel,Hyderabad,2026-09-13 16:46:30.904573,616,374,131.110.155.132
CDR_000169,IMEI_V3,9880942756,BSNL,Hyderabad,2026-09-08 03:46:30.904573,992,242,74.162.163.36
CDR_000170,IMEI_3,9859370771,BSNL,Bangalore,2026-09-06 22:46:30.904573,1275,271,115.9.74.102
CDR_000171,IMEI_V1,9851401501,BSNL,Delhi,2026-09-04 11:46:30.904573,779,380,57.183.199.64
CDR_000172,IMEI_V2,9880321881,Jio,Delhi,2026-09-02 14:46:30.904573,2501,488,174.14.48.131
CDR_000173,IMEI_V1,9891025846,Airtel,Chennai,2026-09-04 21:46:30.904573,2113,85,87.64.186.239
CDR_000174,IMEI_V3,9824634432,BSNL,Pune,2026-08-21 17:46:30.904573,218,150,45.245.178.148
CDR_000175,IMEI_V3,9831718649,BSNL,Kolkata,2026-09-08 02:46:30.904573,389,14,201.122.197.60
CDR_000176,IMEI_5,9811291886,Vodafone,Mumbai,2026-09-15 18:46:30.904573,2683,209,249.182.170.220
CDR_000177,IMEI_V2,9857904504,Vodafone,Hyderabad,2026-08-26 03:46:30.904573,3507,213,58.139.50.151
CDR_000178,IMEI_V3,9813132079,Vodafone,Bangalore,2026-09-02 21:46:30.904573,882,459,164.34.28.58
CDR_000179,IMEI_4,9866154914,BSNL,Hyderabad,2026-09-03 16:46:30.904573,1275,11,242.98.76.110
CDR_000180,IMEI_V2,9883932140,Jio,Kolkata,2026-09-15 04:46:30.904573,1862,364,117.171.236.113
CDR_000181,IMEI_V2,9879024123,Airtel,Bangalore,2026-08-21 08:46:30.904573,1706,63,28.172.194.216
CDR_000182,IMEI_V1,9834694409,Jio,Chennai,2026-08-25 10:46:30.904573,1241,456,66.69.101.91
CDR_000183,IMEI_V1,9865953181,BSNL,Kolkata,2026-09-18 14:46:30.904573,760,333,5.164.28.126
CDR_000184,IMEI_V2,9845793592,Vodafone,Bangalore,2026-09-01 13:46:30.904573,686,295,157.5.50.184
CDR_000185,IMEI_V3,9813184177,Jio,Kolkata,2026-08-23 17:46:30.904573,2935,417,165.139.127.86
CDR_000186,IMEI_V1,9819065368,BSNL,Pune,2026-09-07 19:46:30.904573,1130,238,96.40.113.182
CDR_000187,IMEI_V1,9861778697,Airtel,Mumbai,2026-09-09 08:46:30.904573,107,486,205.79.137.242
CDR_000188,IMEI_V2,9882437083,BSNL,Mumbai,2026-09-20 05:46:30.904573,1905,155,2.179.73.8
CDR_000189,IMEI_V2,9816180112,Vodafone,Kolkata,2026-08-23 10:46:30.904573,1764,391,193.48.46.254
CDR_000190,IMEI_V2,9845319421,Jio,Kolkata,2026-09-16 03:46:30.904573,1001,105,221.209.22.164
CDR_000191,IMEI_V1,9810067190,Airtel,Kolkata,2026-09-11 13:46:30.904573,3208,271,229.18.53.59
CDR_000192,IMEI_V2,9848672600,BSNL,Chennai,2026-09-17 21:46:30.904573,1563,363,236.14.99.193
CDR_000193,IMEI_3,9818751794,Airtel,Kolkata,2026-08-28 05:46:30.904573,2498,169,75.224.64.47
CDR_000194,IMEI_V1,9871184474,Jio,Kolkata,2026-08-20 21:46:30.904573,2224,59,91.108.90.225
CDR_000195,IMEI_V1,9820514033,Airtel,Pune,2026-09-12 10:46:30.904573,3301,18,110.254.20.237
CDR_000196,IMEI_4,9870355433,Vodafone,Bangalore,2026-08-22 14:46:30.904573,2122,19,159.102.52.29
CDR_000197,IMEI_V3,9820571794,BSNL,Chennai,2026-08-23 20:46:30.904573,1492,151,10.135.64.63
CDR_000198,IMEI_V2,9883649607,BSNL,Kolkata,2026-09-01 17:46:30.904573,1282,392,57.176.255.25
CDR_000199,IMEI_V2,9826484453,Jio,Pune,2026-08-27 22:46:30.904573,2239,197,85.145.139.227
CDR_000200,IMEI_V3,9854190546,Jio,Bangalore,2026-09-02 13:46:30.904573,1722,442,116.77.218.216
CDR_000201,IMEI_V2,9838030834,Jio,Bangalore,2026-09-03 17:46:30.904573,69,470,24.120.239.128
CDR_000202,IMEI_V2,9821960833,Jio,Bangalore,2026-08-21 18:46:30.904573,2485,59,139.212.3.83
CDR_000203,IMEI_V1,9825449271,Airtel,Delhi,2026-09-15 17:46:30.904573,2738,1,190.115.144.38
CDR_000204,IMEI_V2,9832466343,BSNL,Chennai,2026-09-06 06:46:30.904573,393,240,65.168.18.117
CDR_000205,IMEI_V1,9825237827,Jio,Delhi,2026-09-02 14:46:30.904573,1389,283,24.240.103.57
CDR_000206,IMEI_V2,9829526394,Jio,Chennai,2026-08-26 19:46:30.904573,2668,120,100.159.38.195
CDR_000207,IMEI_2,9811230776,Jio,Chennai,2026-09-16 06:46:30.904573,1181,75,233.162.197.239
CDR_000208,IMEI_3,9813539429,Airtel,Pune,2026-08-21 22:46:30.904573,3002,322,66.93.174.171
CDR_000209,IMEI_V3,9846052280,Jio,Bangalore,2026-09-11 02:46:30.904573,597,469,205.79.22.69
CDR_000210,IMEI_V2,9868318265,BSNL,Pune,2026-08-20 22:46:30.904573,3415,235,6.181.224.97
CDR_000211,IMEI_V1,9846742346,Airtel,Kolkata,2026-09-14 15:46:30.904573,3413,236,16.72.172.64
CDR_000212,IMEI_V3,9864513363,Airtel,Kolkata,2026-09-02 13:46:30.904573,3007,131,73.222.41.33
CDR_000213,IMEI_V1,9863834147,BSNL,Pune,2026-09-10 22:46:30.904573,2554,69,158.32.161.229
CDR_000214,IMEI_5,9818480924,Vodafone,Mumbai,2026-09-14 17:46:30.904573,916,141,153.126.16.157
CDR_000215,IMEI_V1,9870739649,Airtel,Hyderabad,2026-09-12 18:46:30.904573,2569,188,79.149.167.197
CDR_000216,IMEI_V1,9814398695,Jio,Delhi,2026-08-31 01:46:30.904573,2856,462,31.177.201.136
CDR_000217,IMEI_V3,9856678351,Jio,Chennai,2026-09-12 20:46:30.904573,865,494,228.33.4.183
CDR_000218,IMEI_V2,9881102971,Vodafone,Mumbai,2026-08-30 15:46:30.904573,3434,224,239.6.173.151
CDR_000219,IMEI_V2,9820676040,BSNL,Kolkata,2026-09-08 22:46:30.904573,2817,340,75.15.176.131
CDR_000220,IMEI_V1,9833774420,Vodafone,Chennai,2026-08-26 15:46:30.904573,2484,438,78.185.94.141
CDR_000221,IMEI_V1,9831186391,Jio,Kolkata,2026-09-02 20:46:30.904573,1469,76,110.109.235.241
CDR_000222,IMEI_3,9863432865,Vodafone,Delhi,2026-08-22 23:46:30.904573,256,120,138.220.93.164
CDR_000223,IMEI_V3,9812074170,Airtel,Delhi,2026-08-28 01:46:30.904573,204,75,127.202.84.247
CDR_000224,IMEI_V1,9865642420,Jio,Kolkata,2026-09-14 17:46:30.904573,1429,452,184.36.251.98
CDR_000225,IMEI_V1,9899923141,Airtel,Bangalore,2026-08-31 07:46:30.904573,3256,322,228.229.207.241
CDR_000226,IMEI_V3,9831934940,Vodafone,Bangalore,2026-08-25 01:46:30.904573,2043,92,115.9.21.73
CDR_000227,IMEI_5,9836273631,Airtel,Chennai,2026-08-25 16:46:30.904573,1881,4,251.62.3.133
CDR_000228,IMEI_V2,9873912111,BSNL,Pune,2026-09-06 21:46:30.904573,3456,184,203.113.42.177
CDR_000229,IMEI_V3,9826755017,Airtel,Bangalore,2026-09-14 07:46:30.904573,2727,277,159.145.233.161
CDR_000230,IMEI_V1,9877774563,Airtel,Bangalore,2026-08-23 17:46:30.904573,2232,276,243.48.70.149
CDR_000231,IMEI_V2,9825242659,Airtel,Kolkata,2026-09-06 14:46:30.904573,401,179,199.197.113.139
CDR_000232,IMEI_V3,9830523229,Jio,Hyderabad,2026-09-01 05:46:30.904573,2691,328,9.29.49.90
CDR_000233,IMEI_V3,9858595192,Airtel,Mumbai,2026-09-20 00:46:30.904573,2665,292,120.178.206.200
CDR_000234,IMEI_V1,9893557346,BSNL,Mumbai,2026-08-23 15:46:30.904573,1542,266,157.28.203.27
